Year,Series,concept.REF_AREA,concept.COMPOSITE_BREAKDOWN,Value
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000007,CL_COMP_BREAKDOWN.HZT_FLOOD,4
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000007,CL_COMP_BREAKDOWN.HZT_STORM,4
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000007,CL_COMP_BREAKDOWN.HZT_STORM,5
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000008,CL_COMP_BREAKDOWN.HZT_FIREX,1
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000008,CL_COMP_BREAKDOWN.HZT_FIREX,16
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000008,CL_COMP_BREAKDOWN.HZT_FLOOD,12
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000008,CL_COMP_BREAKDOWN.HZT_FLOOD,6
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000008,CL_COMP_BREAKDOWN.HZT_STORM,2
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000008,CL_COMP_BREAKDOWN.HZT_STORM,2
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000008,CL_COMP_BREAKDOWN.HZT_ERQAK,3
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000008,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,4
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000008,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,11
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000008,,22
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000008,,35
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000009,CL_COMP_BREAKDOWN.HZT_FIREX,6
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000009,CL_COMP_BREAKDOWN.HZT_FIREX,1
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000009,CL_COMP_BREAKDOWN.HZT_FLOOD,4
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000009,CL_COMP_BREAKDOWN.HZT_FLOOD,5
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000009,CL_COMP_BREAKDOWN.HZT_STORM,18
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000009,CL_COMP_BREAKDOWN.HZT_STORM,4
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000009,CL_COMP_BREAKDOWN.HZT_OTHER,4
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000010,CL_COMP_BREAKDOWN.HZT_FIREX,2
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000010,,2
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000010,,4
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000011,CL_COMP_BREAKDOWN.HZT_FIREX,10
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000011,CL_COMP_BREAKDOWN.HZT_FIREX,1
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000011,CL_COMP_BREAKDOWN.HZT_FLOOD,19
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000011,CL_COMP_BREAKDOWN.HZT_CNFLCT,3
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000011,CL_COMP_BREAKDOWN.HZT_OTHER,7
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000011,CL_COMP_BREAKDOWN.HZT_OTHER,51
