Year,concept.REF_AREA,concept.COMPOSITE_BREAKDOWN,Value
2015,CL_REF_AREA.GA1000013,CL_COMP_BREAKDOWN.HZT_FIREX,7
2016,CL_REF_AREA.GA1000013,CL_COMP_BREAKDOWN.HZT_FIREX,61
2017,CL_REF_AREA.GA1000013,CL_COMP_BREAKDOWN.HZT_FIREX,84
2015,CL_REF_AREA.GA1000013,CL_COMP_BREAKDOWN.HZT_FLOOD,6
2016,CL_REF_AREA.GA1000013,CL_COMP_BREAKDOWN.HZT_FLOOD,5
2017,CL_REF_AREA.GA1000013,CL_COMP_BREAKDOWN.HZT_FLOOD,1
2015,CL_REF_AREA.GA1000013,CL_COMP_BREAKDOWN.HZT_STORM,12
2016,CL_REF_AREA.GA1000013,CL_COMP_BREAKDOWN.HZT_STORM,66
2017,CL_REF_AREA.GA1000013,CL_COMP_BREAKDOWN.HZT_STORM,55
2015,CL_REF_AREA.GA1000013,CL_COMP_BREAKDOWN.HZT_CNFLCT,7
2016,CL_REF_AREA.GA1000013,CL_COMP_BREAKDOWN.HZT_CNFLCT,98
2017,CL_REF_AREA.GA1000013,CL_COMP_BREAKDOWN.HZT_CNFLCT,60
2015,CL_REF_AREA.GA1000013,,32
2016,CL_REF_AREA.GA1000013,,243
2017,CL_REF_AREA.GA1000013,,271
2015,CL_REF_AREA.GA1000012,CL_COMP_BREAKDOWN.HZT_FIREX,15
2016,CL_REF_AREA.GA1000012,CL_COMP_BREAKDOWN.HZT_FIREX,26
2017,CL_REF_AREA.GA1000012,CL_COMP_BREAKDOWN.HZT_FIREX,37
2015,CL_REF_AREA.GA1000012,CL_COMP_BREAKDOWN.HZT_FLOOD,6
2016,CL_REF_AREA.GA1000012,CL_COMP_BREAKDOWN.HZT_FLOOD,5
2017,CL_REF_AREA.GA1000012,CL_COMP_BREAKDOWN.HZT_FLOOD,2
2015,CL_REF_AREA.GA1000012,CL_COMP_BREAKDOWN.HZT_STORM,3
2016,CL_REF_AREA.GA1000012,CL_COMP_BREAKDOWN.HZT_STORM,11
2017,CL_REF_AREA.GA1000012,CL_COMP_BREAKDOWN.HZT_STORM,10
2015,CL_REF_AREA.GA1000012,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,1
2016,CL_REF_AREA.GA1000012,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,3
2017,CL_REF_AREA.GA1000012,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,4
2015,CL_REF_AREA.GA1000012,,25
2016,CL_REF_AREA.GA1000012,,55
2017,CL_REF_AREA.GA1000012,,72
2015,CL_REF_AREA.GA1000014,CL_COMP_BREAKDOWN.HZT_FIREX,29
2016,CL_REF_AREA.GA1000014,CL_COMP_BREAKDOWN.HZT_FIREX,50
2017,CL_REF_AREA.GA1000014,CL_COMP_BREAKDOWN.HZT_FIREX,57
2015,CL_REF_AREA.GA1000014,CL_COMP_BREAKDOWN.HZT_FLOOD,20
2016,CL_REF_AREA.GA1000014,CL_COMP_BREAKDOWN.HZT_FLOOD,44
2017,CL_REF_AREA.GA1000014,CL_COMP_BREAKDOWN.HZT_FLOOD,24
2015,CL_REF_AREA.GA1000014,CL_COMP_BREAKDOWN.HZT_STORM,40
2016,CL_REF_AREA.GA1000014,CL_COMP_BREAKDOWN.HZT_STORM,71
2017,CL_REF_AREA.GA1000014,CL_COMP_BREAKDOWN.HZT_STORM,143
2015,CL_REF_AREA.GA1000014,CL_COMP_BREAKDOWN.HZT_EROSN_RVRBK,16
2016,CL_REF_AREA.GA1000014,CL_COMP_BREAKDOWN.HZT_EROSN_RVRBK,57
2017,CL_REF_AREA.GA1000014,CL_COMP_BREAKDOWN.HZT_EROSN_RVRBK,266
2015,CL_REF_AREA.GA1000014,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,2
2016,CL_REF_AREA.GA1000014,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,11
2017,CL_REF_AREA.GA1000014,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,27
2015,CL_REF_AREA.GA1000014,,107
2016,CL_REF_AREA.GA1000014,,236
2017,CL_REF_AREA.GA1000014,,523
2015,CL_REF_AREA.GA1000015,CL_COMP_BREAKDOWN.HZT_FIREX,3
2016,CL_REF_AREA.GA1000015,CL_COMP_BREAKDOWN.HZT_FIREX,12
2017,CL_REF_AREA.GA1000015,CL_COMP_BREAKDOWN.HZT_FIREX,13
2015,CL_REF_AREA.GA1000015,CL_COMP_BREAKDOWN.HZT_STORM,11
2016,CL_REF_AREA.GA1000015,CL_COMP_BREAKDOWN.HZT_STORM,10
2017,CL_REF_AREA.GA1000015,CL_COMP_BREAKDOWN.HZT_STORM,20
2015,CL_REF_AREA.GA1000015,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,2
2016,CL_REF_AREA.GA1000015,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,2
2017,CL_REF_AREA.GA1000015,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,2
2015,CL_REF_AREA.GA1000015,,16
2016,CL_REF_AREA.GA1000015,,42
2017,CL_REF_AREA.GA1000015,,49
2016,,CL_COMP_BREAKDOWN.HZT_ERQAK,6
2016,CL_REF_AREA.GA1000001,CL_COMP_BREAKDOWN.HZT_EROSN_RVRBK,33
2017,CL_REF_AREA.GA1000001,CL_COMP_BREAKDOWN.HZT_EROSN_RVRBK,7
2016,CL_REF_AREA.GA1000001,CL_COMP_BREAKDOWN.HZT_OTHER,5
2017,CL_REF_AREA.GA1000001,CL_COMP_BREAKDOWN.HZT_OTHER,19
2016,CL_REF_AREA.GA1000003,CL_COMP_BREAKDOWN.HZT_LNDSL,3
2017,CL_REF_AREA.GA1000003,CL_COMP_BREAKDOWN.HZT_LNDSL,3
2016,CL_REF_AREA.GA1000003,CL_COMP_BREAKDOWN.HZT_CNFLCT,6
2017,CL_REF_AREA.GA1000003,CL_COMP_BREAKDOWN.HZT_CNFLCT,2
